feature,importance,coefficient
internet_traffic_lag_1,6.620539382200523,6.620539382200523
internet_traffic_lag_24,3.247114578103394,3.247114578103394
hour_cos,3.072892730601755,-3.072892730601755
hour_sin,1.534939594396281,-1.534939594396281
dayofweek,1.272499414271332,-1.272499414271332
internet_traffic_lag_12,1.0075283640818173,1.0075283640818173
internet_traffic_lag_2,0.9615125014079114,-0.9615125014079114
internet_traffic_lag_3,0.6831863181634136,-0.6831863181634136
dow_cos,0.5414168836381943,-0.5414168836381943
internet_traffic_lag_6,0.48591212041946413,-0.48591212041946413
dow_sin,0.4156314594958266,-0.4156314594958266
weekofyear,0.26886919634124573,-0.26886919634124573
dayofmonth,0.1804647528844164,-0.1804647528844164
hour,0.10975744205234275,0.10975744205234275
