feature,importance,coefficient
rrc_users,23.104601478395445,23.104601478395445
latency_ms,5.581014037614228,-5.581014037614228
hour_sin,3.0405437672980358,-3.0405437672980358
prb_dl_util_lag_3,1.617427859609438,-1.617427859609438
prb_dl_util_lag_6,1.4620868612745448,-1.4620868612745448
throughput_mbps,1.398849290819306,-1.398849290819306
prb_dl_util_lag_2,0.7066404317405165,0.7066404317405165
hour_cos,0.6666288259144264,0.6666288259144264
hour,0.542515599425305,-0.542515599425305
prb_dl_util_lag_12,0.19651937403406813,0.19651937403406813
prb_dl_util_lag_1,0.1759208846523069,-0.1759208846523069
dow_cos,0.1497322396642143,-0.1497322396642143
dayofweek,0.14973223778413014,0.14973223778413014
dayofmonth,0.14973223774199065,0.14973223774199065
dow_sin,0.14973223502668956,0.14973223502668956
weekofyear,0.0,0.0
