cell_id,internet_traffic
5161,12740060.3472951
5059,11170854.376857953
5259,10485779.59721138
5061,9584334.464347998
5258,8707440.216795454
5159,8703872.857452026
6064,8675342.60282981
4855,8491044.36277918
4856,8230212.196455722
5262,8163357.08709642
5857,8145514.036641727
6058,7939202.8290695185
4956,7857682.99422464
4459,7750012.085424296
5256,7632094.031328874
5162,7451156.335762748
4857,7239224.576684221
4755,7209967.193380362
5567,7110181.150365469
5758,7050783.918645119
6169,7029757.249922145
5263,6940202.4686757075
5163,6922887.7640417935
4961,6892405.6302570235
5957,6885430.744316816
4955,6881968.010788771
6065,6708543.294482478
5261,6537499.458240114
5255,6508169.610848285
6165,6384390.445827086
5156,6353382.073055108
6260,6336046.178208933
4457,6320777.524445741
5965,6187575.110968529
4761,6148952.546161702
4754,6101784.839699063
4654,6069286.169406296
5361,6033530.182481412
5967,5985376.5020587705
4959,5940149.429181371
5959,5919666.94212259
4854,5840634.080122043
4957,5838197.301955967
5158,5783072.619967765
5854,5716917.654885271
5954,5701441.271913386
4655,5686285.473420913
4456,5679993.233139658
6067,5649656.818156811
5467,5626396.7119286815
4861,5602532.501442327
6164,5599228.023288953
5964,5503390.406780764
5955,5455829.1817292925
4762,5405702.040466161
4653,5395328.751968319
5359,5389762.519639998
4462,5377248.440342863
5367,5338227.938864384
5160,5322451.966767813
5458,5316080.11395157
6066,5315234.535770471
5856,5314696.570074726
4758,5304066.657871057
5155,5291925.978085593
5360,5285635.24735994
6068,5267147.305405279
4559,5264009.505312925
5963,5234036.2002901975
6063,5229338.023017696
4958,5226173.163387905
4968,5205263.276446017
4756,5202675.414049149
4759,5192894.492422849
5068,5186524.7873973185
4460,5142688.40441103
5056,5116064.041902042
5968,5113582.915716069
5062,5099398.677171697
5157,5073034.121501934
5461,5064295.7441660315
5349,5049016.968559174
4954,5030347.289417323
5063,5000138.471454678
6059,4986293.949486943
4962,4983414.642992241
4760,4963348.937961209
5260,4957698.5751301395
4948,4956749.492093921
6268,4944865.857453398
4757,4894187.8886663485
5060,4885013.195203377
4648,4857463.2658387935
4960,4808627.451148557
5958,4779052.121144006
5568,4776080.871770353
5358,4732396.095769478
6269,4731484.673043059
5154,4730222.727059664
5257,4701360.341579601
5858,4698705.724649278
5254,4671103.163582687
5765,4649988.693419627
4860,4635312.382471832
4656,4620702.484743217
4256,4613842.5754676545
5252,4586896.866714482
6264,4581521.496113529
4556,4574671.3789476985
5055,4571990.9523151135
4660,4554488.109238207
5861,4526155.299757228
4554,4503130.465088281
5248,4496910.4477855405
5966,4491045.501348073
4659,4490324.454601666
5148,4489638.325647869
6069,4486796.581350752
4853,4470890.20277276
5862,4469237.513922421
5658,4461190.109489533
5766,4417478.026076418
4858,4415739.465822843
5460,4412803.517322412
5855,4374571.655860736
4458,4372017.527536038
4555,4364234.898977499
6158,4350595.945367348
5956,4340693.196422856
5757,4318455.361173402
5147,4310279.848735252
5072,4282802.359179436
4548,4280532.940647291
5659,4274636.647592818
5566,4240015.204158973
