timestamp,forecast_step,y_hat
2014-01-01 23:00:00+00:00,1,180.0251354717021
2014-01-02 00:00:00+00:00,2,180.20915468149067
2014-01-02 01:00:00+00:00,3,212.28889211808053
2014-01-02 02:00:00+00:00,4,215.0253427582285
2014-01-02 03:00:00+00:00,5,242.5191970960022
2014-01-02 04:00:00+00:00,6,251.0135039802706
2014-01-02 05:00:00+00:00,7,264.95288424471346
2014-01-02 06:00:00+00:00,8,278.5860131930547
2014-01-02 07:00:00+00:00,9,291.492031861645
2014-01-02 08:00:00+00:00,10,303.2756360867834
2014-01-02 09:00:00+00:00,11,315.95626408135206
2014-01-02 10:00:00+00:00,12,327.8283082886788
2014-01-02 11:00:00+00:00,13,339.49694314379013
2014-01-02 12:00:00+00:00,14,350.9328960534171
2014-01-02 13:00:00+00:00,15,362.36980160493505
2014-01-02 14:00:00+00:00,16,373.584712670121
2014-01-02 15:00:00+00:00,17,384.8279478090274
2014-01-02 16:00:00+00:00,18,396.1694052550453
2014-01-02 17:00:00+00:00,19,407.4391686206882
2014-01-02 18:00:00+00:00,20,418.70364181128804
2014-01-02 19:00:00+00:00,21,429.984030930529
2014-01-02 20:00:00+00:00,22,441.2593669868307
2014-01-02 21:00:00+00:00,23,452.5215310401853
2014-01-02 22:00:00+00:00,24,464.6670694283522
