timestamp,forecast_step,y_hat
2024-01-08 00:00:00+00:00,1,64.74287771435611
2024-01-08 01:00:00+00:00,2,66.04513708750396
2024-01-08 02:00:00+00:00,3,64.88825398725587
2024-01-08 03:00:00+00:00,4,65.06728415414209
2024-01-08 04:00:00+00:00,5,65.41072092420815
2024-01-08 05:00:00+00:00,6,65.44165384648298
2024-01-08 06:00:00+00:00,7,65.51206792733718
2024-01-08 07:00:00+00:00,8,65.47700118078154
2024-01-08 08:00:00+00:00,9,65.46002842797034
2024-01-08 09:00:00+00:00,10,65.45061516334246
2024-01-08 10:00:00+00:00,11,65.44848049602159
2024-01-08 11:00:00+00:00,12,65.4511687227496
2024-01-08 12:00:00+00:00,13,65.45271310415413
2024-01-08 13:00:00+00:00,14,65.4535633272127
2024-01-08 14:00:00+00:00,15,65.45356280022807
2024-01-08 15:00:00+00:00,16,65.45334538790502
2024-01-08 16:00:00+00:00,17,65.45319341136936
2024-01-08 17:00:00+00:00,18,65.45313345320798
2024-01-08 18:00:00+00:00,19,65.45314133866185
2024-01-08 19:00:00+00:00,20,65.45316160159497
2024-01-08 20:00:00+00:00,21,65.45317516407611
2024-01-08 21:00:00+00:00,22,65.4531790746816
2024-01-08 22:00:00+00:00,23,65.45317787276294
2024-01-08 23:00:00+00:00,24,65.45317592888686
