feature,importance
internet_traffic_lag_24,0.6640554137068881
internet_traffic_lag_1,0.24806923120477165
internet_traffic_lag_12,0.03944127285919717
hour_cos,0.019452431230403737
internet_traffic_lag_6,0.01155930027625948
hour,0.007930547774526758
hour_sin,0.0026646743458695046
internet_traffic_lag_3,0.0025792025910447002
dayofweek,0.0014032895186780693
dow_sin,0.0009819928505632434
internet_traffic_lag_2,0.0008004361395587494
weekofyear,0.0003729525965618812
dayofmonth,0.0003675083027726291
dow_cos,0.00032174660290424896
