timestamp,forecast_step,y_hat
2013-12-20 00:00:00+00:00,1,27.289483578567197
2013-12-20 01:00:00+00:00,2,22.169340600166176
2013-12-20 02:00:00+00:00,3,21.615806592460057
2013-12-20 03:00:00+00:00,4,20.93242266686122
2013-12-20 04:00:00+00:00,5,20.804998263859662
2013-12-20 05:00:00+00:00,6,19.720637585965857
2013-12-20 06:00:00+00:00,7,19.737735722285375
2013-12-20 07:00:00+00:00,8,19.512287121841503
2013-12-20 08:00:00+00:00,9,19.308867463483278
2013-12-20 09:00:00+00:00,10,19.308867463483278
2013-12-20 10:00:00+00:00,11,18.835673877981822
2013-12-20 11:00:00+00:00,12,18.835673877981822
2013-12-20 12:00:00+00:00,13,18.329094719009092
2013-12-20 13:00:00+00:00,14,18.329094719009092
2013-12-20 14:00:00+00:00,15,17.86479165916002
2013-12-20 15:00:00+00:00,16,17.86479165916002
2013-12-20 16:00:00+00:00,17,17.86479165916002
2013-12-20 17:00:00+00:00,18,17.86479165916002
2013-12-20 18:00:00+00:00,19,17.86479165916002
2013-12-20 19:00:00+00:00,20,17.86479165916002
2013-12-20 20:00:00+00:00,21,17.86479165916002
2013-12-20 21:00:00+00:00,22,17.86479165916002
2013-12-20 22:00:00+00:00,23,17.86479165916002
2013-12-20 23:00:00+00:00,24,17.86479165916002
