feature,importance
internet_traffic_lag_1,0.4524480457961803
internet_traffic_lag_24,0.41144976256918564
hour_cos,0.0635692671811556
internet_traffic_lag_6,0.01653894711851219
hour,0.01636903575841968
dow_sin,0.0075163676339212795
internet_traffic_lag_3,0.006700243345111654
internet_traffic_lag_2,0.0066208454378725535
hour_sin,0.005027218070340106
dayofweek,0.003877608617831099
internet_traffic_lag_12,0.0034592536571089135
weekofyear,0.00321698828681206
dayofmonth,0.0030467160828265903
dow_cos,0.0001597004447223356
