timestamp,forecast_step,y_hat
2013-12-20 00:00:00+00:00,1,160.68038149783874
2013-12-20 01:00:00+00:00,2,116.42903772108623
2013-12-20 02:00:00+00:00,3,60.30418235070596
2013-12-20 03:00:00+00:00,4,55.811597915567106
2013-12-20 04:00:00+00:00,5,63.786462369056764
2013-12-20 05:00:00+00:00,6,63.96630354543379
2013-12-20 06:00:00+00:00,7,64.39322925421436
2013-12-20 07:00:00+00:00,8,64.42755076229864
2013-12-20 08:00:00+00:00,9,64.38437311178734
2013-12-20 09:00:00+00:00,10,64.38395348807092
2013-12-20 10:00:00+00:00,11,64.38090535859332
2013-12-20 11:00:00+00:00,12,64.38066547447441
2013-12-20 12:00:00+00:00,13,64.3808912090849
2013-12-20 13:00:00+00:00,14,64.38088904394438
2013-12-20 14:00:00+00:00,15,64.38090986932261
2013-12-20 15:00:00+00:00,16,64.38091143881725
2013-12-20 16:00:00+00:00,17,64.38091031158429
2013-12-20 17:00:00+00:00,18,64.38091035597375
2013-12-20 18:00:00+00:00,19,64.3809102183763
2013-12-20 19:00:00+00:00,20,64.38091020867749
2013-12-20 20:00:00+00:00,21,64.38091021394513
2013-12-20 21:00:00+00:00,22,64.38091021347778
2013-12-20 22:00:00+00:00,23,64.3809102143625
2013-12-20 23:00:00+00:00,24,64.38091021441912
