feature,importance
internet_traffic_lag_1,0.7989097289991688
hour,0.10564011042774682
hour_cos,0.03961778645689504
internet_traffic_lag_24,0.02511663266303919
hour_sin,0.013722676263926752
dayofweek,0.00460181198018774
dow_sin,0.0032442302687407153
internet_traffic_lag_2,0.0031863331216402937
internet_traffic_lag_3,0.0020132942347192884
internet_traffic_lag_6,0.001693534222340094
dayofmonth,0.0009795787021915092
internet_traffic_lag_12,0.0009717061351444713
weekofyear,0.00029293369914291966
dow_cos,9.642825116251513e-06
