timestamp,forecast_step,y_hat
2013-12-20 00:00:00+00:00,1,144.43650646796883
2013-12-20 01:00:00+00:00,2,124.70917536178652
2013-12-20 02:00:00+00:00,3,145.0756833064827
2013-12-20 03:00:00+00:00,4,128.90811826786745
2013-12-20 04:00:00+00:00,5,146.06831750172964
2013-12-20 05:00:00+00:00,6,132.71777203210547
2013-12-20 06:00:00+00:00,7,146.7387999909243
2013-12-20 07:00:00+00:00,8,135.6900785386239
2013-12-20 08:00:00+00:00,9,147.10229977341993
2013-12-20 09:00:00+00:00,10,137.96247876837697
2013-12-20 10:00:00+00:00,11,147.25301441541495
2013-12-20 11:00:00+00:00,12,139.69969533427016
2013-12-20 12:00:00+00:00,13,147.26861233645727
2013-12-20 13:00:00+00:00,14,141.03250574861943
2013-12-20 14:00:00+00:00,15,147.20348717450332
2013-12-20 15:00:00+00:00,16,142.05936954699365
2013-12-20 16:00:00+00:00,17,147.09405051806266
2013-12-20 17:00:00+00:00,18,142.85392735810126
2013-12-20 18:00:00+00:00,19,146.96404213084327
2013-12-20 19:00:00+00:00,20,143.47135515695612
2013-12-20 20:00:00+00:00,21,146.82849783699282
2013-12-20 21:00:00+00:00,22,143.95313865000222
2013-12-20 22:00:00+00:00,23,146.69655814584115
2013-12-20 23:00:00+00:00,24,144.33059333298127
