feature,importance,coefficient
internet_traffic_lag_1,74.46477716480751,74.46477716480751
hour_cos,10.478457871648763,-10.478457871648763
dayofweek,8.09689635113544,-8.09689635113544
internet_traffic_lag_3,7.880773231034566,-7.880773231034566
hour_sin,6.359856133877369,6.359856133877369
internet_traffic_lag_24,5.436510629498524,5.436510629498524
hour,4.857604132577911,4.857604132577911
internet_traffic_lag_6,4.277979747603502,-4.277979747603502
internet_traffic_lag_2,3.1073067906582916,-3.1073067906582916
dow_cos,2.4249538147561576,-2.4249538147561576
internet_traffic_lag_12,2.227599408365151,-2.227599408365151
dow_sin,2.193157216423044,2.193157216423044
weekofyear,0.13826485048956672,0.13826485048956672
dayofmonth,0.026745833789794816,-0.026745833789794816
