feature,importance
internet_traffic_lag_24,0.7000148331047706
internet_traffic_lag_1,0.2203728503880402
internet_traffic_lag_12,0.03171274090056664
hour_cos,0.018846482209656935
hour,0.009976594375047367
internet_traffic_lag_6,0.009015029544818764
dow_sin,0.0029903017959155283
dayofweek,0.0019186065227220802
hour_sin,0.0018712920815143245
internet_traffic_lag_3,0.0014951609829503359
internet_traffic_lag_2,0.0008010819563329816
dow_cos,0.0004623442421811429
dayofmonth,0.00034488900127783794
weekofyear,0.00017779289420526191
