feature,importance,coefficient
internet_traffic_lag_1,6.7872783475004566,6.7872783475004566
internet_traffic_lag_24,3.2145568906104445,3.2145568906104445
hour_cos,2.9231038142571903,-2.9231038142571903
hour_sin,1.4156378544794936,-1.4156378544794936
dayofweek,1.264843970571248,-1.264843970571248
internet_traffic_lag_2,0.8611179582230218,-0.8611179582230218
internet_traffic_lag_12,0.8588718984115689,0.8588718984115689
internet_traffic_lag_3,0.6404437269955495,-0.6404437269955495
internet_traffic_lag_6,0.5398152479290792,-0.5398152479290792
dow_cos,0.4823055637411937,-0.4823055637411937
dow_sin,0.3995777063727354,-0.3995777063727354
weekofyear,0.3070795853641377,-0.3070795853641377
dayofmonth,0.22260472903917466,-0.22260472903917466
hour,0.0632587988074995,0.0632587988074995
