feature,importance,coefficient
internet_traffic_lag_1,9923.512981337857,9923.512981337857
internet_traffic_lag_2,3109.0141487970104,-3109.0141487970104
hour_cos,924.1137011547925,-924.1137011547925
internet_traffic_lag_3,693.9163584423993,-693.9163584423993
internet_traffic_lag_24,656.5018272534745,656.5018272534745
hour_sin,349.49781773448444,-349.49781773448444
dayofweek,296.0808302264891,296.0808302264891
internet_traffic_lag_6,285.58146784586035,-285.58146784586035
weekofyear,96.90961286051937,96.90961286051937
internet_traffic_lag_12,80.58431599913854,-80.58431599913854
dow_sin,64.43724912748682,-64.43724912748682
dayofmonth,61.96296667488005,-61.96296667488005
hour,51.381136354110325,51.381136354110325
dow_cos,32.928377039938894,32.928377039938894
