feature,importance,coefficient
hour_cos,5.589547286845811,5.589547286845811
hour_sin,4.624830840752032,-4.624830840752032
prb_ul_util,2.7047681314180645,2.7047681314180645
latency_ms,2.485949732265618,2.485949732265618
dow_cos,1.9263396073787171,1.9263396073787171
packet_loss_pct,1.9137243858910105,1.9137243858910105
throughput_dl_mbps,1.6255823040419426,-1.6255823040419426
rrc_users,1.5208735021565782,1.5208735021565782
prb_dl_util_lag_2,1.2567301459664282,-1.2567301459664282
prb_dl_util_lag_1,0.9748051583191196,0.9748051583191196
prb_dl_util_lag_3,0.8721653458169146,-0.8721653458169146
throughput_ul_mbps,0.785639644603762,-0.785639644603762
hour,0.7649846957110334,-0.7649846957110334
prb_dl_util_lag_6,0.5638276762490384,-0.5638276762490384
dayofweek,0.46857012926675934,-0.46857012926675934
dayofmonth,0.4685701291938488,-0.4685701291938488
sinr_db,0.46374007661222966,-0.46374007661222966
prb_dl_util_lag_12,0.29660873815094474,0.29660873815094474
dow_sin,0.04001172927936609,-0.04001172927936609
weekofyear,0.0,0.0
